UIC;Gare enquêtée;Classe distance gare gare;POURCENTAGE;Année
775007.0;Nîmes;75 à 100 km;3.0;2014
575001.0;Poitiers;25 à 50 km;12.0;2015
571000.0;Tours;50 à 75 km;10.0;2016
763029.0;Valence TGV Rhône-Alpes Sud;250 à 300 km;3.0;2015
476002.0;Lorient;300 à 400 km;0.0;2010
478404.0;Laval;Moins de 25 km;4.0;2011
481002.0;Nantes;250 à 300 km;3.0;2014
478404.0;Laval;250 à 300 km;3.0;2011
182063.0;Mulhouse;250 à 300 km;3.0;2014
182014.0;Colmar;400 à 500 km;1.0;2017
192039.0;Metz;Moins de 25 km;15.0;2016
300822.0;Belfort Montbéliard TGV;25 à 50 km;4.0;2015
747006.0;Grenoble;Plus de 500 km;1.0;2015
318964.0;Avignon TGV;Moins de 25 km;3.0;2015
762906.0;Lyon Saint Exupery TGV;Moins de 25 km;1.0;2016
757625.0;Cannes;400 à 500 km;1.0;2015
756056.0;Nice;400 à 500 km;1.0;2014
411017.0;Rouen Rive Droite;Plus de 500 km;1.0;2014
411017.0;Rouen Rive Droite;300 à 400 km;0.0;2014
396002.0;Le Mans;50 à 75 km;4.0;2015
141002.0;Nancy;250 à 300 km;19.0;2014
763029.0;Valence TGV Rhône-Alpes Sud;100 à 150 km;8.0;2015
476002.0;Lorient;Moins de 25 km;11.0;2010
476002.0;Lorient;Plus de 500 km;2.0;2010
471003.0;Rennes;Moins de 25 km;8.0;2014
444000.0;Caen;100 à 150 km;15.0;2012
575001.0;Poitiers;100 à 150 km;16.0;2015
723197.0;Lyon Part Dieu;Plus de 500 km;7.0;2011
723197.0;Lyon Part Dieu;300 à 400 km;25.0;2011
756056.0;Nice;150 à 200 km;7.0;2014
319012.0;Aix en Provence-TGV;200 à 250 km;1.0;2015
713040.0;Dijon;Moins de 25 km;10.0;2015
677005.0;Hendaye;150 à 200 km;24.0;2016
677005.0;Hendaye;25 à 50 km;16.0;2016
182063.0;Mulhouse;Moins de 25 km;24.0;2014
583005.0;Angoulême;Moins de 25 km;1.0;2012
478404.0;Laval;Plus de 500 km;2.0;2011
141002.0;Nancy;150 à 200 km;2.0;2014
171009.0;Reims;400 à 500 km;0.0;2016
396002.0;Le Mans;200 à 250 km;5.0;2015
747006.0;Grenoble;25 à 50 km;17.0;2015
300863.0;Besançon Franche-Comté TGV;Plus de 500 km;1.0;2015
300822.0;Belfort Montbéliard TGV;200 à 250 km;0.0;2015
318964.0;Avignon TGV;400 à 500 km;1.0;2015
581009.0;Bordeaux Saint-Jean;200 à 250 km;9.0;2014
575001.0;Poitiers;50 à 75 km;8.0;2015
478404.0;Laval;300 à 400 km;2.0;2011
286005.0;Lille Flandres;25 à 50 km;37.0;2013
223263.0;Lille Europe;200 à 250 km;17.0;2013
192039.0;Metz;400 à 500 km;0.0;2016
773002.0;Montpellier Saint-Roch;Moins de 25 km;13.0;2015
313874.0;Amiens;100 à 150 km;21.0;2015
773002.0;Montpellier Saint-Roch;Plus de 500 km;16.0;2015
286005.0;Lille Flandres;Plus de 500 km;2.0;2013
773002.0;Montpellier Saint-Roch;400 à 500 km;1.0;2015
192039.0;Metz;75 à 100 km;3.0;2016
762906.0;Lyon Saint Exupery TGV;400 à 500 km;42.0;2016
444000.0;Caen;200 à 250 km;2.0;2012
757625.0;Cannes;75 à 100 km;0.0;2015
182063.0;Mulhouse;150 à 200 km;3.0;2014
611004.0;Toulouse Matabiau;300 à 400 km;6.0;2014
182063.0;Mulhouse;200 à 250 km;1.0;2014
142109.0;Lorraine TGV;300 à 400 km;1.0;2017
171009.0;Reims;200 à 250 km;1.0;2016
141002.0;Nancy;Moins de 25 km;15.0;2014
611004.0;Toulouse Matabiau;Plus de 500 km;9.0;2014
141002.0;Nancy;100 à 150 km;6.0;2014
575001.0;Poitiers;150 à 200 km;5.0;2015
300863.0;Besançon Franche-Comté TGV;150 à 200 km;22.0;2015
481002.0;Nantes;Plus de 500 km;7.0;2014
286005.0;Lille Flandres;50 à 75 km;10.0;2013
444877.0;Cherbourg;75 à 100 km;3.0;2015
411017.0;Rouen Rive Droite;50 à 75 km;28.0;2014
444877.0;Cherbourg;50 à 75 km;5.0;2015
444877.0;Cherbourg;25 à 50 km;10.0;2015
476002.0;Lorient;75 à 100 km;3.0;2010
471003.0;Rennes;25 à 50 km;12.0;2014
722025.0;Lyon Perrache;100 à 150 km;3.0;2011
484006.0;Angers Saint Laud;400 à 500 km;5.0;2015
713040.0;Dijon;250 à 300 km;24.0;2015
571000.0;Tours;25 à 50 km;9.0;2016
713040.0;Dijon;300 à 400 km;2.0;2015
673004.0;Bayonne;200 à 250 km;6.0;2013
751008.0;Marseille Saint-Charles;100 à 150 km;10.0;2013
763029.0;Valence TGV Rhône-Alpes Sud;300 à 400 km;3.0;2015
747006.0;Grenoble;400 à 500 km;16.0;2015
773002.0;Montpellier Saint-Roch;150 à 200 km;7.0;2015
747006.0;Grenoble;75 à 100 km;24.0;2015
747006.0;Grenoble;250 à 300 km;0.0;2015
755009.0;Toulon;100 à 150 km;15.0;2014
747006.0;Grenoble;100 à 150 km;2.0;2015
581009.0;Bordeaux Saint-Jean;Plus de 500 km;8.0;2014
713040.0;Dijon;50 à 75 km;13.0;2015
581009.0;Bordeaux Saint-Jean;150 à 200 km;9.0;2014
611004.0;Toulouse Matabiau;25 à 50 km;16.0;2014
583005.0;Angoulême;25 à 50 km;14.0;2012
583005.0;Angoulême;50 à 75 km;5.0;2012
763029.0;Valence TGV Rhône-Alpes Sud;Moins de 25 km;3.0;2015
763029.0;Valence TGV Rhône-Alpes Sud;150 à 200 km;15.0;2015
773002.0;Montpellier Saint-Roch;25 à 50 km;24.0;2015
784009.0;Perpignan;25 à 50 km;21.0;2016
775007.0;Nîmes;250 à 300 km;2.0;2014
722025.0;Lyon Perrache;Moins de 25 km;23.0;2011
677005.0;Hendaye;50 à 75 km;8.0;2016
142109.0;Lorraine TGV;Moins de 25 km;1.0;2017
484006.0;Angers Saint Laud;150 à 200 km;2.0;2015
118000.0;Troyes;250 à 300 km;2.0;2015
484006.0;Angers Saint Laud;200 à 250 km;1.0;2015
192039.0;Metz;100 à 150 km;5.0;2016
476002.0;Lorient;400 à 500 km;22.0;2010
171009.0;Reims;250 à 300 km;2.0;2016
481002.0;Nantes;400 à 500 km;2.0;2014
611004.0;Toulouse Matabiau;100 à 150 km;13.0;2014
182063.0;Mulhouse;100 à 150 km;2.0;2014
611004.0;Toulouse Matabiau;250 à 300 km;2.0;2014
313874.0;Amiens;Plus de 500 km;0.0;2015
611004.0;Toulouse Matabiau;200 à 250 km;9.0;2014
313874.0;Amiens;150 à 200 km;0.0;2015
581009.0;Bordeaux Saint-Jean;Moins de 25 km;7.0;2014
753657.0;Arles;250 à 300 km;5.0;2014
484006.0;Angers Saint Laud;Plus de 500 km;2.0;2015
753657.0;Arles;200 à 250 km;3.0;2014
575001.0;Poitiers;400 à 500 km;5.0;2015
345025.0;Lens;Moins de 25 km;49.0;2016
476002.0;Lorient;200 à 250 km;0.0;2010
411017.0;Rouen Rive Droite;100 à 150 km;29.0;2014
478404.0;Laval;150 à 200 km;2.0;2011
411017.0;Rouen Rive Droite;200 à 250 km;0.0;2014
673400.0;Biarritz;Moins de 25 km;24.0;2016
471003.0;Rennes;75 à 100 km;11.0;2014
713040.0;Dijon;75 à 100 km;7.0;2015
171009.0;Reims;Plus de 500 km;0.0;2016
751008.0;Marseille Saint-Charles;Plus de 500 km;23.0;2013
141002.0;Nancy;400 à 500 km;0.0;2014
747006.0;Grenoble;300 à 400 km;0.0;2015
763029.0;Valence TGV Rhône-Alpes Sud;25 à 50 km;1.0;2015
755009.0;Toulon;25 à 50 km;36.0;2014
773002.0;Montpellier Saint-Roch;50 à 75 km;7.0;2015
581009.0;Bordeaux Saint-Jean;100 à 150 km;12.0;2014
757625.0;Cannes;Plus de 500 km;9.0;2015
484006.0;Angers Saint Laud;300 à 400 km;3.0;2015
775007.0;Nîmes;150 à 200 km;4.0;2014
775007.0;Nîmes;100 à 150 km;11.0;2014
396002.0;Le Mans;75 à 100 km;12.0;2015
723197.0;Lyon Part Dieu;Moins de 25 km;6.0;2011
484006.0;Angers Saint Laud;Moins de 25 km;7.0;2015
723197.0;Lyon Part Dieu;400 à 500 km;4.0;2011
575001.0;Poitiers;250 à 300 km;23.0;2015
673400.0;Biarritz;75 à 100 km;1.0;2016
571000.0;Tours;Plus de 500 km;0.0;2016
713040.0;Dijon;100 à 150 km;9.0;2015
756056.0;Nice;100 à 150 km;4.0;2014
212027.0;Strasbourg;250 à 300 km;1.0;2016
300863.0;Besançon Franche-Comté TGV;200 à 250 km;4.0;2015
300863.0;Besançon Franche-Comté TGV;25 à 50 km;0.0;2015
286005.0;Lille Flandres;400 à 500 km;2.0;2013
313874.0;Amiens;250 à 300 km;0.0;2015
286005.0;Lille Flandres;250 à 300 km;0.0;2013
313874.0;Amiens;25 à 50 km;23.0;2015
673400.0;Biarritz;400 à 500 km;2.0;2016
751008.0;Marseille Saint-Charles;150 à 200 km;8.0;2013
713040.0;Dijon;150 à 200 km;10.0;2015
751008.0;Marseille Saint-Charles;400 à 500 km;1.0;2013
223263.0;Lille Europe;Moins de 25 km;8.0;2013
751008.0;Marseille Saint-Charles;25 à 50 km;13.0;2013
212027.0;Strasbourg;400 à 500 km;1.0;2016
396002.0;Le Mans;150 à 200 km;37.0;2015
182063.0;Mulhouse;50 à 75 km;2.0;2014
345025.0;Lens;Plus de 500 km;0.0;2016
673004.0;Bayonne;Plus de 500 km;14.0;2013
345025.0;Lens;400 à 500 km;0.0;2016
673400.0;Biarritz;100 à 150 km;1.0;2016
753657.0;Arles;75 à 100 km;3.0;2014
673004.0;Bayonne;300 à 400 km;0.0;2013
